@relation data_456

@attribute ZN-E numeric
@attribute PH-E numeric
@attribute SSV-E numeric
@attribute SED-E numeric
@attribute PH-P numeric
@attribute SSV-P numeric
@attribute SED-P numeric
@attribute PH-D numeric
@attribute SSV-D numeric
@attribute SED-D numeric
@attribute PH-S numeric
@attribute SSV-S numeric
@attribute SED-S numeric
@attribute RD-DBO-P numeric
@attribute RD-SS-P numeric
@attribute RD-SED-P numeric
@attribute RD-DBO-S numeric
@attribute RD-DQO-S numeric
@attribute RD-DBO-G numeric
@attribute RD-DQO-G numeric
@attribute RD-SS-G numeric
@attribute binaryClass {P,N}

@data
2,8.3,78.3,4.5,8.3,73.3,10,8.2,88.1,0.5,7.8,?,0.02,?,?,?,?,?,?,?,?,N
0.8,8.1,76.1,2.5,8.1,73.2,2.5,8.1,83.7,0.3,7.9,85.3,0.01,47.7,31,88,89.1,67.1,92.4,78.1,87.3,N
1.2,8.2,73.3,3,8.2,71.7,4,8.1,83,0.5,7.8,90,0.01,43.6,48.9,87.5,77.3,73,88.2,80.9,91.3,N
3.5,8.1,76.5,4,8.1,74.7,4.5,8.1,86.8,0.4,7.8,83.3,0,42.1,51.9,92.2,88.6,70.1,92.2,75,90.7,N
3,8.4,77.8,5,8.3,74.5,5.3,8.2,76.7,0.4,7.7,83.3,0.05,26.8,57.8,92.4,88.8,73.2,92.8,85.3,94.4,P
0.5,7.9,74.6,2.5,8.1,76.1,2.5,8,78.3,0.5,7.8,65.4,0.02,49.8,35.2,80,88.5,68.1,93.9,80.7,89.7,N
0.8,8.3,70.9,5,8.2,66.7,5.5,8.1,70.7,0.3,7.8,73.1,0.02,58.9,55.9,94.5,88.9,69.7,94.3,82.4,91.8,N
1.67,7.9,77.4,3.5,8.1,70.4,5.5,8.1,86.7,0.2,7.8,90,0.01,53.7,69.4,96.4,84.1,51.3,91.6,65.9,91.1,N
1.5,8.2,73.6,7,8.2,65.3,11,8,72.2,0.4,7.7,73.5,0.01,55.6,75,96.8,88,67.7,91.7,84.4,92.3,N
0.5,8,74,4.5,8.1,75.2,6.5,8,80,0.3,7.8,84.2,0.01,39.7,73.2,96.2,84.2,65.2,86.3,75.3,87.7,N
0.4,7.8,67.6,?,7.7,68.9,?,7.8,81.9,?,7.7,85.1,?,70.2,51.4,?,81.2,54.3,90.7,71.2,86.6,N
0.9,7.7,65.8,4,7.8,67,3.3,7.9,80,0.3,7.7,70.9,0.05,35.2,53.6,90.8,89.8,39.1,95,53,93,P
0.35,8.3,71.7,2.5,8.2,74.6,2.5,8.1,88.2,0.4,7.8,90.9,0.01,7.5,49.3,84,92.9,69.9,93.8,75.8,90.8,N
0.35,8.1,70.3,4,8.3,71.9,2.5,8.2,71.4,1,7.7,76.4,0.02,39.6,26.3,60,90.3,77.9,93.6,86.2,91.4,N
0.65,7.9,66.7,2.5,8.1,67.9,3,8.2,71.1,1,7.8,78.6,0.05,12.6,42.3,66.7,84.2,63.3,88.3,64.3,77.8,P
0.5,8.2,79.7,4,8.2,80,3.5,8.2,77.1,1.2,7.7,88.3,0.02,30.8,26.2,65.7,87.2,60.7,88.6,62.2,77.1,N
0.7,8.2,75.3,5.3,8.3,72.8,4,8.2,83.7,0.6,7.7,81.8,0.01,33.6,46.9,85,88.6,68.2,92.8,78.7,93.2,N
0.86,7.6,69.9,3.5,7.8,71.4,4,7.9,78.3,0.4,7.7,80,0.01,44.2,45.2,90,87.3,74.2,92.4,76.9,94.5,N
1,8.2,72.3,5.5,8.3,75.5,5,8.2,73.9,0.5,7.8,39.2,0,41,53.1,90,90.1,74.5,92.8,81.7,92.2,N
1.2,8,73.4,6,8.1,74,5,8,87.5,0.6,7.7,80,0.03,44,50,88,87.8,75,92.6,88.6,92,N
1,8.2,72.2,5,8.3,75,4,8.1,97.7,0.6,7.8,70,0.01,32.3,43.4,85,88.5,79.7,94.2,82.6,93.1,N
2.7,8.2,76.6,5.3,8.2,73.9,5,8.2,80.9,0.4,7.7,86.4,0,31.2,59.1,92,90.8,78.9,90.5,87,94.1,N
0.7,8,70.6,?,7.9,73.1,?,7.9,78,?,7.4,88,?,?,36.6,?,?,76.1,94.6,87.6,90.2,N
1.2,7.9,71.2,6.5,8,69.3,6,8,73.9,0.4,7.7,85.7,0.02,54.7,63.8,93.3,90,79.9,95.3,88.7,94.4,N
2.6,8.2,67.2,7,8.3,67.2,5.5,8.2,66.1,0.9,7.9,80,0,32.8,50.4,83.6,88.9,83.3,94,89.6,95.7,N
2.6,8.1,69.2,6.5,8.2,72.7,3.3,8.1,71.1,3,7.8,83.3,0.02,26.7,23.2,7.7,90.5,86.7,94.2,90.2,94.2,N
0.96,8.1,84.2,6,8,80,5.5,8.2,90.6,0.5,7.9,94.1,0.01,45.7,49.5,90.9,89.5,78.3,93.3,89.3,91.6,N
2.5,8.3,71.3,7.5,8.4,72.7,8,8.2,77.6,3.5,7.8,92.9,0.02,33.2,33.6,56.3,85.3,88.3,90.8,92.1,94,N
1.3,7.5,73.7,2.5,7.6,64.4,2,7.6,77.1,0.3,7.6,96,0,20.5,52.1,87.5,87.6,59.1,90.2,65.7,91.2,N
4.1,7.8,55.7,3,7.9,54.4,2.5,7.9,73,0.3,7.7,75,0,34.3,53.2,88,84.8,68,89.5,77.6,92.4,N
1.7,7.9,56.3,2,7.9,57.5,3,7.8,74.4,0.3,7.6,85.7,0,26,50.6,90,84.2,74.9,87.3,72.8,91.3,N
0.94,7.9,67.6,3,7.7,66.2,2.5,7.7,69.4,0.3,7.6,90.9,0.02,48.3,51.4,88,78.7,68.1,89.5,87.3,91.9,N
0.82,7.7,66.3,3,7.8,67.6,3.5,7.7,83.7,0.5,7.7,92.3,0.02,54.8,53.3,87.1,91,81.7,92.4,87.5,93.6,N
3.1,7.9,69.6,4.5,8,69.2,4,8,78,0.5,7.8,81.3,0.02,30.6,53.3,88.8,83.4,71,89.5,82.3,91.3,N
3.5,7.6,34.3,3.5,7.6,36.1,3,7.5,44.9,0.5,7.4,85.7,0,39.7,66,83.3,79.5,60.4,85,72.2,95,N
3.7,7.3,32.2,1.8,7.4,34.3,1.5,7.5,45.9,0.3,7.4,80,0,46.4,62.6,80,77.8,59.2,87.5,75,94.4,N
1,7.7,53.3,?,7.7,48.5,?,7.6,66.7,?,7.2,72,?,35.7,69.7,?,87,41.1,92.2,71.8,93.3,N
0.6,7.5,56.7,1.5,7.5,51.4,1.3,7.6,66.7,0.2,7.5,68,0,41.8,62.5,84,81.7,83.7,86.2,82.5,91.7,N
0.23,7.6,57.3,2.5,7.7,53.1,2.5,7.8,59.2,0.5,7.7,83.3,0.02,43.4,50,80,79.8,82.8,85.2,85.5,89,N
4.4,7.9,57.5,7.5,8,49.8,9.2,7.9,72.7,0.5,7.8,87.5,0.05,29.1,72.9,95.1,85.6,75.5,88.6,85.9,94.5,N
3.2,7.9,62.7,7.5,8,63.3,6.5,7.9,78.6,0.5,7.9,84.2,0.02,29.8,56.3,92.3,88.2,70.7,91.9,80.7,93.3,N
3.25,7.9,46.5,8.5,7.9,52.9,9,7.8,74.6,0.4,7.7,82.1,0.02,46.7,70.6,95.6,87,72.7,90.5,81.4,95.8,N
1.74,7.8,61.3,5,7.7,55.4,5,7.8,71.2,0.4,7.7,86.7,0.01,36.8,66.9,92,86.6,77.1,89.3,86,94,N
1.5,7.7,56.3,4.5,7.7,63,2.7,7.7,69,0.5,7.7,80.5,0.03,17.4,37,81.5,71.1,58.1,78.4,72.5,82.8,N
0.76,7.7,45.6,5.3,7.8,45.3,5.6,7.7,72.5,0.2,7.7,100,0.01,28.7,73,96.4,85.6,64,91.7,76.9,94.5,N
0.9,7.7,60.8,5.9,7.8,54.7,6.3,7.8,68.3,0.3,7.7,91.4,0.01,51.9,67.5,95.2,88.1,66.1,95,75.8,92.8,N
1.89,7.7,64.3,5.5,7.9,62.2,6,7.9,74.4,0.2,7.7,76.5,0.05,66.7,63.9,96.7,88.7,71,94,79.1,91.3,N
2.5,7.4,68.6,5,7.7,64.5,6.5,7.7,72.3,0.2,7.7,80,0.1,59.4,62.1,96.9,84.9,65.2,92,76.7,90.2,P
0.12,7.7,17.9,?,7.6,17.7,?,7.5,69.7,?,7.6,76.9,?,68.5,96.1,?,83.5,47.3,92.5,81,99.4,N
0.5,7.6,62.1,5,7.7,56.5,5.5,7.7,79.4,0.2,7.6,82.3,0.02,20,68.5,97.3,87,82,88.5,87,93.1,N
2.1,7.8,61.1,4.5,7.8,54.4,3,7.9,61,0.3,7.7,84.6,0.02,32.5,42.7,90,82.4,75.5,88.8,82.7,93.2,N
0.75,7.6,22.8,36,7.6,21.3,46,7.7,66.7,0.5,7.6,82.4,0.02,43.1,94.7,98.9,81.8,68.7,89.9,83.6,98.6,N
3.9,7.9,54.5,6.5,7.9,46.2,7.5,7.9,57.8,0.3,7.8,85.7,0.01,43.1,73.7,96,87.8,59.3,93.8,77.6,95.1,N
1.5,7.7,62.3,13,7.8,53.3,19,7.9,84.2,0.4,7.7,77.8,0.05,66.1,81.9,97.9,79,64.4,91.4,85.5,91.2,N
0.99,7.8,23.7,18,7.8,30.4,17,7.8,60.9,0.4,7.6,75,0.03,50.5,88,97.6,84.5,?,90.4,?,97.9,N
0.71,7.7,71.2,3.3,7.7,66,4.5,7.7,72.6,0.9,7.7,79.5,0.5,31.3,39.8,80,73.7,75.6,80.8,84.4,69.9,P
0.56,7.8,73.3,4.5,7.9,68.8,6,7.9,79.3,0.1,7.7,78.8,0,20.2,48.2,98.3,87.1,72.6,91.9,82,89.5,N
0.77,7.8,67.9,5.5,7.9,71.6,5,7.9,73.9,0.4,7.8,81.2,0,51.5,65.7,93,85.4,75.8,92.6,87.2,89.7,N
0.76,8.1,75,5.5,8.2,68.1,5,8.1,75,0.1,7.9,77.6,0,62.7,63,98,86.5,73.1,91.7,82.9,89.2,N
0.68,7.8,66.3,4.5,7.9,63.2,5,7.9,78,0.4,7.7,87,0.05,66,52.8,92,81.5,71.1,86.7,82.3,87.1,P
2.2,7.5,78.4,4.3,7.6,69.2,3.9,7.6,83.3,0.3,7.6,96.2,0,48.6,53.8,92.3,88.5,66.7,94.9,76.7,95.3,N
0.7,7.7,67.7,6,7.9,58.6,7,7.9,70.2,0.6,7.7,97.8,0,59.7,64.7,91.4,89,65,94.1,74,92.2,N
4.07,7.9,72.1,4.5,7.9,68.6,5.8,7.9,84.3,0.4,7.7,93.8,0.02,38.7,57.9,93.9,91,76.8,92.3,82.2,92.8,N
2.7,7.6,71.6,5.5,7.7,65.2,5,7.6,84.3,0.7,7.6,88.2,0.05,32,54.5,86,85.4,79.2,89.9,85.6,72.1,N
0.6,7.8,70.8,5.5,7.9,67,5.5,7.9,80.4,0.2,7.8,92.3,0,31,57.8,96.4,87.5,77.1,91.7,85,93.9,N
0.7,7.2,65.6,?,7.4,64.8,?,7.5,84.2,?,7.5,83.9,?,7.8,64.8,?,84.6,62.6,85,68.5,83.3,N
0.7,7.5,55.4,5.3,7.7,54.7,5.5,7.7,79.2,0.4,7.6,90,0,34.5,62.5,93.6,90.4,89.6,92.2,93.1,95.9,N
0.4,7.9,70.7,5,7.9,70.1,5.5,7.9,76.1,0.3,7.8,63.6,0,34.7,57,94.5,88.5,76.7,92.7,84.5,88.9,N
0.82,7.8,66.9,5.5,8,62,5,7.9,75.5,0.3,7.8,79.5,0.05,46.1,55,94,86.1,70.5,93.4,79.5,89.9,N
2.85,7.7,66.1,4.5,7.8,62.3,6,7.9,75.4,0.3,7.8,85.7,0.02,55.8,56.2,95.8,87.9,71.3,91.5,80.3,93.8,N
6.36,8.1,62,5,8.1,61.5,5,8,66,0.5,7.7,91.7,0.02,40.2,54.7,90,87.9,69.6,92.4,79.6,94.4,N
9.6,8.1,61.8,4.5,8,55.7,5.3,7.9,73.3,0.4,7.7,88.9,0.02,13.8,63.1,93.3,85.5,72,88.7,75.7,91.8,N
1.98,7.9,66.7,4,7.9,63,3.5,7.8,80.5,0.3,7.7,82.5,0,55.8,59,91.4,86,77.4,94.8,84.1,90.5,N
6.45,7.5,48.1,6,7.8,47.1,3.5,7.9,78,0.4,7.7,83.1,0.02,56.3,60.6,88.6,86.4,75.2,90.7,84.9,95.1,N
9,7.7,50.3,5.5,7.7,61.9,4.5,7.8,76.4,0.7,7.6,79.2,0.02,10.8,47.6,84.4,86.6,66.1,88.4,72.2,92.5,N
2.9,7.7,59.7,14,7.8,55.9,15.5,7.9,80.4,0.4,7.8,96.7,0,52.4,82.2,97.4,86.5,?,93.1,88.1,96.8,N
6.5,7.7,52.6,6.5,7.8,50.9,7.5,7.9,77.3,0.3,7.7,89.5,0.02,51.6,81,96,81.6,81.5,87.4,88,95,N
8.7,7.5,46,?,7.3,58.9,?,7.1,73,?,7,83.3,?,9.6,49.3,?,85,66.8,87.2,81.2,93.4,N
1.8,7.5,40,1.4,7.5,40,3,7.5,65,0.3,7.5,92.9,0.02,36.2,74.2,90,84.3,68.5,81.2,77.1,92.2,P
1.77,7.6,51.6,25,7.7,55.4,19,7.8,81,1,7.7,84.2,0.05,21.6,49.4,94.7,80.6,74.2,83.5,80.3,89.6,N
1.73,7.4,66.1,4.5,7.6,67.3,4.5,7.7,87.5,0.1,7.7,78.6,0.01,49.8,60.4,97.8,88.7,73.4,92.8,78.1,94.2,N
4.2,7.8,54.8,3.5,7.8,52.5,4.5,7.8,82.8,0.1,7.7,93.7,0.01,34.1,75.4,97.8,82.4,84,88,81,92.3,N
4.4,7.6,67.6,3.5,7.6,62.9,4,7.6,70,0.1,7.4,92.3,0.01,35.8,65.5,97.5,86.4,?,92.1,?,93.6,N
6.6,7.8,71.7,3.5,7.7,61.5,4,7.7,76.7,0.1,7.6,76.8,0.01,27.1,50,97.5,87.3,64.3,91.4,79.2,92.9,N
3.42,7.4,72.3,?,7.4,62.5,?,7.4,88.9,?,7.4,90.9,?,51.4,72.1,?,83.6,18.5,92.6,70.1,94.6,N
2.92,7.5,81.5,3,7.5,64.8,3,7.5,75.8,0.9,7.4,78.7,0.01,20.1,31.9,70,90.2,69.5,91,69.5,86.1,N
33.5,7.5,51.1,6.3,7.6,54.3,5.5,7.9,75,0.3,8,?,?,29,68.2,94.5,73.6,60.1,82.5,76.5,?,N
19.1,7.6,55.7,5,7.6,63.2,5.5,7.5,76.2,0.2,7.4,78.3,0.01,50.7,60.4,96.4,82,59.3,88.8,72.9,91.9,N
3.7,7.7,68.8,3,7.8,67.4,3.1,7.8,83,0.2,7.7,86.7,0.01,34,55.4,93.5,78.1,63.1,85.5,72.5,80.5,N
6.3,7.7,57.4,4,7.8,55.7,6.5,7.7,81.3,0.7,7.6,82.5,0.01,26.6,65.7,89.2,80.2,60.3,84.2,70.1,86.9,N
2.6,7.8,58.3,4.7,7.8,60.4,4.5,7.7,73.1,0.9,7.7,82.9,0.02,37.1,53.2,80,78.5,59.3,84.3,73.7,85.8,N
0.8,7.6,69.4,4,7.7,66.7,3,7.6,82.4,0.2,7.7,87.5,0,46.4,65.7,93.3,84.3,64.4,92.1,80.9,90.6,N
5.7,7.7,59.8,6,7.7,61,4,7.7,77,0.6,7.6,100,0,34.1,50,85,83.3,33.5,89.8,60.4,92.9,N
1.1,7.6,57.7,4.3,7.7,60.8,4,7.7,65.6,0.7,7.8,83.6,0,24.4,34,82.5,82.3,63.1,88.6,73.3,89.4,N
0.7,7.6,61.2,4,7.7,62.9,7,7.7,62.3,0.7,7.8,86.5,0,45.2,50.7,90,13.2,1.4,29.5,19.2,57,N
1,7.6,65.8,5.5,7.6,64,4.5,7.6,69.6,1,7.6,83.8,0.25,34.5,49.5,77.8,8.2,?,45.7,41,66.7,P
1.6,6.9,65.3,5,7.3,58.5,4.5,7.3,65.5,1.4,7.5,74.4,0.02,35.4,50.8,68.9,18.5,33.9,56.7,50,67.8,N
0.9,7.3,62,3,7.4,59.5,3,7.5,58.8,0.3,7.6,71.8,0.01,60.9,56,90,66.7,55.5,83.2,70.4,81.9,N
4,7.5,75,5,7.5,61.7,5,7.5,75.6,0.1,7.6,70.5,0.01,16.8,64.3,98,79.8,72.1,85.7,85.8,89.9,N
1.8,7.6,64.3,4,7.7,67.3,3.5,7.6,73.9,0.2,7.6,82.4,0.01,45.6,55.8,95.7,82.1,69,90.4,79.2,85.3,N
1.5,8.1,67.1,3,8,69.1,2,7.6,85.7,0.1,7.5,86.4,0.01,18.5,48.5,95,85.1,69,88.4,73,84.3,N
5.7,7.7,51,4,7.7,67.7,2.5,7.6,75.5,0.1,7.5,75.7,0.01,30.9,50.5,96,79.2,59.3,82.6,71.1,84.1,N
2.4,7.6,49,2.8,7.6,50,2.5,7.6,83,0.1,7.6,85.7,0.02,17.8,63.3,96,85.8,63.3,88.6,64.4,86,N
1.4,7.5,67.5,2,7.5,77.6,1.7,7.6,89.3,0.1,7.7,85.7,0,33.8,58.2,94.1,85.7,57.1,92.6,67.7,85.8,N
0.2,7.8,73.9,3.8,7.8,75.6,3.5,7.8,82.4,0.2,7.5,88.6,0.01,37.5,60.5,95.7,82.5,62,87.7,73.3,89.9,N
0.55,7.4,69.4,3,7.4,60.2,3,7.4,71.8,0.1,7.6,78.5,0.01,28.4,60.2,98.3,85.6,?,89.9,72.1,84.7,N
1.6,7.5,69,2.6,7.5,67,3,7.6,80,0.1,7.7,79.4,0.02,47.4,60,98.3,81.2,62.6,88.8,70.5,79.8,N
1.75,7.7,62.9,3,7.7,53.4,4,7.7,67.3,0.3,7.6,81.8,0.02,24.8,55.9,92.5,88.3,68.8,89.8,75.6,93.8,N
1,7.8,62,5.5,7.8,54.2,8,7.8,64.4,0.3,7.7,75,0.05,37.1,66.7,96.3,82.3,77.9,87.8,85.3,90.7,N
0.58,7.7,61.2,4.5,7.8,55.3,6,7.7,67.2,0.2,7.7,81.8,0.05,39.4,63.5,96.7,83.3,71.3,89.7,81.6,90.9,P
1.14,7.8,64,4.3,7.9,49.6,9.5,7.9,66.7,0.3,7.8,75,0.01,56,75.4,96.8,85,61.4,91.2,70.7,93,N
2.22,7.7,62.4,5.4,7.7,50,8,7.7,59.7,0.5,7.7,75,0.01,39.3,67.8,93.8,84,72.3,89,79.3,92.7,N
5.9,7.6,67.8,?,7.6,55.4,?,7.5,64.3,?,7.5,87.5,?,32.4,66.3,?,81.3,77.1,84.2,82.2,90.8,N
0.92,7.7,64.3,4.3,7.7,58.5,5.9,7.7,64.5,0.2,7.6,80,0,32.9,49.6,96.6,86.2,67.8,89,81.2,91.1,N
2.5,7.8,66.7,7.5,7.7,52.8,8.5,7.8,66.7,0.3,7.7,77.8,0.02,40.5,73.6,97.1,87.4,75.1,92.2,85.8,89.8,N
1.5,7.5,67.9,7,7.6,56.3,9,7.8,66.7,0.2,7.7,77.9,0,51.1,75.9,98.3,86.4,82.2,92.4,89.9,94.1,N
1,7.6,58,6.5,7.8,56.5,7,7.8,71.7,0.2,7.7,74.3,0.02,41.6,72.3,97.1,84.5,69.7,90,80.8,92.7,N
1.75,7.2,63.8,?,7.4,49.8,?,7.5,70.3,?,7.6,88.9,?,43.7,82.6,?,86.5,70.4,91,84.5,93.5,N
1.25,7.5,61.5,4.5,7.6,58.2,5,7.7,75,0.2,7.6,71.4,0.02,42.2,67.2,97,86,74.2,90.9,83.3,93.6,N
0.72,7.8,57.9,5.5,7.8,55.1,5.5,7.8,73.2,0.2,7.7,67.4,0.02,43.2,62.4,96.4,91.5,74.5,94.8,78.8,90,N
0.73,7.8,62.2,4.5,7.8,57.5,6,7.9,78,0.2,7.7,75.9,0.02,57.7,69.4,97.5,77.1,54.5,88.3,71.2,86.9,N
0.36,7.6,53.4,5,7.7,54,6,7.8,81.6,0.2,7.6,81.8,0.03,36.8,72.3,97.5,82.5,74,88.5,83.4,90.5,N
3.9,7.8,66,5,7.8,69.5,4.5,7.7,83.8,0.2,7.6,85.7,0.01,56.8,68.6,95.6,90.8,81.3,93.9,86.6,93,N
1.2,7.7,62,4.5,7.9,62.6,4.5,7.9,75.7,0.2,7.8,77.5,0.02,36.9,65.4,95.6,90.5,61.3,95.1,76.3,92,N
3.3,7.3,56.7,3.5,7.5,64.3,2.5,7.6,81.3,0.2,7.6,83.3,0.01,24.1,61.9,92,94.2,57.5,95.5,71,94.2,N
3.2,7.6,57.9,5.5,7.7,59.4,5.5,7.8,81.3,0.2,7.6,73.1,0.01,47.3,69.8,97.3,84.4,70.8,87.3,76.5,86.3,N
0.85,7.6,66.7,5.5,7.7,66.3,3,7.7,89.2,0.1,7.7,81.8,0.01,35.9,58.4,96.7,87,75,92.7,80,88.9,N
0.45,7.8,82.9,4.5,7.8,80,4.5,7.8,100,0.1,7.7,83.1,0.01,44.9,72.6,97.8,89.9,73.5,93,80.5,92.1,N
1.94,7.7,65.2,4.5,7.7,68.1,3.5,7.8,84.8,0.2,7.8,77.3,0,25.2,63.7,95.7,86.4,66.2,89.3,75.8,87.6,N
2.4,7.6,71.8,4,7.7,?,3.3,7.7,81.6,0.5,7.8,100,0.01,30.1,55.8,84.6,90,73.1,92.7,79,94.1,N
0.54,7.6,58.8,2.5,7.6,55.9,2.8,7.7,70.7,0.2,7.8,88,0.01,41.6,59.8,92.9,79.8,71.9,86.9,78.7,89.7,N
1.44,7.5,47,3.5,7.7,47.7,4.2,7.8,76.7,0.3,7.8,84.7,0.01,41.4,67.4,92.9,75.8,64.8,83.7,?,92.6,N
0.47,7.6,61.7,2.5,7.5,59.6,3.5,7.6,71.7,0.2,7.7,76.4,0.01,68.5,57.8,94.3,71,60.6,85,67.1,88.3,N
1.4,7.6,64.8,4.5,7.7,66.7,4,7.8,79.5,0.4,7.8,72,0.01,?,56.7,90,64.7,80.9,92.3,82.7,91.8,N
1.1,7.3,85,3.3,7.6,79.7,3,7.7,?,0.2,7.8,?,0.01,43.9,?,93.3,81.6,77.3,88,91.5,?,N
4.5,7.8,55.9,3.5,7.9,56.8,4.5,7.9,75.7,0.3,7.9,86.2,0.01,23.7,68.6,93.3,87.4,68.7,91.4,80.5,93.6,N
3,7.6,38.4,2.5,7.7,40,3.5,7.7,69.1,0.2,7.6,68.9,0.02,35.9,71,95.7,76,79,84.3,80.9,93.2,N
0.5,7.8,49.2,4.5,7.7,45.8,7,7.7,60,0.2,7.8,81.7,0.02,24.8,68.9,97.1,74.1,61.8,78.5,77,90.4,N
0.4,7.8,51.9,6.5,7.7,50.7,6,7.8,72.7,0.2,7.7,80,0.02,55.1,71.1,96.7,82.7,69.8,92.9,84.9,95.9,N
0.27,7.9,64.6,5.4,7.9,58.8,5.5,7.9,76.9,0.2,7.8,83.3,0.02,42.3,71.3,96.4,77.7,87.5,87.6,92.8,92,N
0.88,7.6,55.5,5.5,7.7,53.5,6,7.7,75.7,0.2,7.7,82.2,0.1,42.3,73.9,96.7,74.4,59.6,86.3,80.2,93.4,P
0.17,7.8,47.7,6.5,7.8,41,6,7.8,78.1,0.2,7.8,77.9,0.03,47.7,82,97.5,76.1,68,88,84.2,93.9,N
0.25,8.1,56.3,7.5,7.9,53.2,7,7.9,72.6,0.3,7.8,80,0.02,32.8,67.7,96.4,72.7,81,82.2,89.3,91.8,N
0.14,7.7,60.3,4.5,7.7,60,7.5,7.8,81.6,0.3,7.8,87.5,0.08,?,72.5,96,?,74.5,85.7,86,90.8,P
0.12,7.8,63.4,4.7,7.8,59.4,5.5,7.7,72.1,0.2,7.8,81.8,0.02,46.5,68.8,96.4,82,70.3,?,84.1,89.1,N
0.25,8,57.5,5.7,7.9,64.2,7.2,7.9,70.8,0.4,7.9,77.8,0.02,32.8,68.2,94.4,83.5,80.4,88.5,87.8,93.3,N
1.59,7.8,65.1,4.5,7.8,64.2,5,7.9,68.2,0.2,7.9,70.8,0.2,44.7,67.2,96,80,53.8,88.5,71.4,90.5,P
0.4,7.8,71.8,3,7.8,67.1,3,7.8,91.2,0.2,7.8,80,0.1,11.1,57,93.3,76,69.2,80.3,74,86.6,P
?,7.7,66.7,4.5,7.8,66.7,3.5,7.8,80.5,0.2,7.9,88.9,0.05,30,65.8,94.3,68.9,58,81,73.7,91.7,P
1.2,7.9,73.9,6.5,7.8,67.1,5,7.8,97,0.4,7.8,93.3,0.1,40.6,59.8,92,89.5,?,93.7,?,91.8,P
0.7,7.6,63.9,5.5,7.6,55.9,5,7.6,60.5,0.3,7.7,77.8,0.01,47.3,61.3,94,76.4,?,86.5,82.4,90.7,N
3.3,7.7,62,3.5,7.7,58.6,3,7.6,81.4,0.2,7.9,70.7,0.15,?,38.6,93.3,?,87,92.7,95,91.8,P
7.3,7.6,64,3.5,7.7,67.4,3,7.6,77.4,0.2,7.6,80,0.05,?,40.4,95,?,72.9,90.9,79.9,?,P
1.6,7.7,70.1,1.5,7.7,65.2,2.5,7.8,69.8,0.3,7.7,81.8,0.05,32.4,40.4,88,87.8,77.6,91.3,85.3,83.8,P
1.6,7.9,64.7,6,7.9,66.4,7.2,7.9,70,2.5,7.8,85.7,0.05,?,43.9,65.3,?,75.3,?,81.2,89.7,N
3,7.4,61.9,3,7.5,65.1,2.5,7.6,82.5,0.2,7.7,77.1,0.02,29.1,53.5,92,85.7,64.2,90.6,72.7,85.6,N
2.6,7.5,66.3,3,7.5,65.1,2,7.6,68.9,0,7.8,86,0.02,34.2,47.7,99,84.4,66.1,90.3,73.3,88.4,N
0.5,7.3,67.7,2,7.4,68.8,1.3,7.4,67.3,0.1,7.5,82.9,0.02,?,52.3,92.3,75.3,?,86.3,?,76.6,P
0.2,7.6,71,5,7.6,68,2.5,7.6,94.2,0.1,7.8,91.4,0.02,55.1,73.2,96,82,62.5,91.7,78.9,88.7,N
0.45,7.9,64.3,2.5,7.8,69,3,7.9,81.7,0.2,8,85.5,0,44.8,64.5,95,82.2,80,89.4,86.1,88.8,N
0.4,7.6,67.7,3,7.6,71.8,2.5,7.6,83.6,0.2,7.8,76.5,0.02,?,64.1,94,84.9,60.4,91.9,76.8,87.6,N
0.5,7.6,44.3,7.5,7.5,44.2,8,7.6,78.5,0.1,7.9,78,0.02,48.7,86.9,98.8,81,67.9,90.4,91.6,96,N
0.2,7.7,70.8,3,7.6,69.5,7.5,7.6,79.1,0.2,7.8,82.9,0.02,?,47.6,97.3,?,77.6,93.7,84.8,90.3,N
0.55,7.5,37.2,1.4,7.5,38.2,1,7.5,67.4,0.1,7.6,85,0.02,62.8,77.7,90,73.8,65.5,92.7,77.2,90.7,P
0.23,7.6,37.6,1.4,7.6,57,1.5,7.6,58.8,0.2,7.7,77.8,0.01,36.9,43.6,86.7,87.7,71.9,91.3,79.8,92.3,N
0.62,7.5,66.2,1.7,7.5,64,1.5,7.7,64.9,0.2,7.8,84.6,0.02,38.1,41.6,86.7,87.7,79,94.2,87.7,91.6,P
0.23,7.6,71.4,2,7.6,67.3,1.5,7.6,69.7,0.3,7.6,87.1,0.02,50.9,36.5,80,87,69.6,91.7,80.5,82.7,P
0.2,7.6,60.7,3.5,7.7,59.5,3,7.7,71.4,0.1,7.9,64,0.05,68,66.7,96.7,81.6,41.8,94.3,72.5,83.1,P
0.2,7.3,73.5,3,7.4,75.6,2.5,7.4,77.5,0.3,7.5,100,0.02,38.5,54.5,88,90,?,95.8,81.7,93.4,N
0.1,7.6,68.5,1.6,7.6,71.1,1.7,7.7,84.4,0.2,7.9,70,0.01,25.2,61.4,91.2,78.6,65.1,86.8,81,89,N
0.47,7.6,64.9,2,7.7,61.5,1.8,7.8,77.4,0.1,7.9,83.1,0.01,45.6,60.3,94.4,82.5,72.9,89.4,86.2,91.2,N
2,7.7,72.2,2,7.6,69.1,3,7.6,82.6,0.2,7.8,82.5,0.01,?,?,?,?,77.7,?,?,?,N
0.2,7.5,82.3,2.5,7.6,70.6,2.5,7.7,91.9,0.2,7.9,90,0,40.5,54.4,94,89.7,75.5,93.5,85,90.3,N
